# nb_documents_indexed sqlite_time_it_took sqlite_standard_deviation custom_time_it_took custom_standard_deviation
  1                    285958.1             186904.04796175496   134216.3             13992.713304073659  
  2                    595908               453346.28368764644   259787.3             25288.469301442503  
  4                    1171554              850277.6849763846    510662.1             54404.49905007856   
  8                    2373553.8            1920241.2231819103   1019949.6            131300.74891500047  
  16                   4466516.5            3044957.3645829344   2010191.4            292524.5356082802   
  32                   8540878.9            4868873.870700399    3950845.6            592807.8745502965   
  64                   16082728.9           6346614.044255164    7792120.6            1168085.5003363579  
  128                  31117328.8           8948644.257866383    15565274.8           2334891.973720874   
  256                  59905482.9           11052009.326653108   30938570.4           4758590.431427487   
  512                  117586453.9          12040978.443263201   62961766.4           8621838.735939559   
  1024                 239825466.2          15787106.468734823   127004133            20482276.56487209   
  2048                 482381416.4          27551326.04419618    250214924.6          35538989.29705297   
  4096                 958508895.5          30770833.48977347    496344033.1          64134738.30801899   
  8192                 1924248912.2         51186185.27408137    988450812.1          113297021.51394542  
  16384                3825342403.8         69775748.60952656    2010604033.1         184928123.79709113  
